Rank,Title,Authors,Journal,Publication Year,GCS,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,CitedPerYear
11,REAL-TIME DETECTION AND RAPID MULTIWAVELENGTH FOLLOW-UP OBSERVATIONS OF A HIGHLY SUBLUMINOUS TYPE II-P SUPERNOVA FROM THE PALOMAR TRANSIENT FACTORY SURVEY,"Gal-Yam, Avishay; Kasliwal, Mansi M.; Arcavi, Iair; Green, Yoav; Yaron, Ofer; Ben-Ami, Sagi; Xu, Dong; Sternberg, Assaf; Quimby, Robert M.; Kulkarni, Shrinivas R.; Ofek, Eran O.; Walters, Richard; Nugent, Peter E.; Poznanski, Dovi; Bloom, Joshua S.; Cenko, S. Bradley; Filippenko, Alexei V.; Li, Weidong; Silverman, Jeffrey M.; Walker, Emma S.; Sullivan, Mark; Maguire, K.; Howell, D. Andrew; Mazzali, Paolo A.; Frail, Dale A.; Bersier, David; James, Phil A.; Akerlof, C. W.; Yuan, Fang; Law, Nicholas; Fox, Derek B.; Gehrels, Neil",ASTROPHYSICAL JOURNAL,2011,39,0,0,0,0,3,8,5,10,3,10,6.5
12,RFID-enabled real-time Wireless Manufacturing for adaptive assembly planning and control,"Huang, George Q.; Zhang, Y. F.; Chen, X.; Newman, Stephen T.",JOURNAL OF INTELLIGENT MANUFACTURING,2008,58,0,0,1,5,9,8,12,8,11,4,6.444444444444445
13,Modular wireless real-time sensor/actuator network for factory automation applications,"Koerber, Hans-Joerg; Wattar, Housam; Scholl, Gerd",IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,2007,63,2,5,8,4,11,7,6,7,4,9,6.3
14,IoT-based real-time production logistics synchronization system under smart cloud manufacturing,"Qu, T.; Lei, S. P.; Wang, Z. Z.; Nie, D. X.; Chen, X.; Huang, George Q.",INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2016,6,0,0,0,0,0,0,0,0,2,4,6.0
15,Combined DEMATEL technique with hybrid MCDM methods for creating the aspired intelligent global manufacturing & logistics systems,"Tzeng, Gwo-Hshiung; Huang, Chi-Yo",ANNALS OF OPERATIONS RESEARCH,2012,29,0,0,0,0,0,1,1,7,10,10,5.8
16,The Smart Factory: Exploring Adaptive and Flexible Manufacturing Solutions,"Radziwon, Agnieszka; Bilberg, Arne; Bogers, Marcel; Madsen, Erik Skov","24TH DAAAM INTERNATIONAL SYMPOSIUM ON INTELLIGENT MANUFACTURING AND AUTOMATION, 2013",2014,17,0,0,0,0,0,0,0,0,4,13,5.666666666666667
17,Agent-based workflow management for RFID-enabled real-time reconfigurable manufacturing,"Zhang, YingFeng; Huang, George Q.; Qu, Ting; Ho, Oscar",INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,2010,39,0,0,0,0,5,12,8,4,7,3,5.571428571428571
18,Specific metabolic activity of ripening bacteria quantified by real-time reverse transcription PCR throughout Emmental cheese manufacture,"Falentin, Helene; Postollec, Florence; Parayre, Sandrine; Henaff, Nadine; Le Bivic, Pierre; Richoux, Romain; Thierry, Anne; Sohier, Daniele",INTERNATIONAL JOURNAL OF FOOD MICROBIOLOGY,2010,39,0,0,0,0,5,10,8,2,8,6,5.571428571428571
19,Innovative system for real-time ergonomic feedback in industrial manufacturing,"Vignais, Nicolas; Miezal, Markus; Bleser, Gabriele; Mura, Katharina; Gorecky, Dominic; Marin, Frederic",APPLIED ERGONOMICS,2013,22,0,0,0,0,0,0,1,7,6,8,5.5
20,Potential capability estimation for real time electricity demand response of sustainable manufacturing systems using Markov Decision Process,"Sun, Zeyi; Li, Lin",JOURNAL OF CLEANER PRODUCTION,2014,16,0,0,0,0,0,0,0,4,6,6,5.333333333333333
21,Ontology-based reconfiguration agent for intelligent mechatronic systems in flexible manufacturing,"Alsafi, Yazen; Vyatkin, Valeriy",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,2010,35,0,0,0,1,3,4,7,4,8,8,5.0
22,An RFID-based intelligent decision support system architecture for production monitoring and scheduling in a distributed manufacturing environment,"Guo, Z. X.; Ngai, E. W. T.; Yang, Can; Liang, Xuedong",INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,2015,10,0,0,0,0,0,0,0,0,4,6,5.0
23,Smart Factories in Industry 4.0: A Review of the Concept and of Energy Management Approached in Production Based on the Internet of Things Paradigm,"Shrouf, F.; Ordieres, J.; Miragliotta, G.",2014 IEEE INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT (IEEM),2014,15,0,0,0,0,0,0,0,0,0,15,5.0
24,Radio frequency identification-enabled real-time manufacturing execution system: a case study in an automotive part manufacturer,"Dai, Qingyun; Zhong, Runyang; Huang, George Q.; Qu, Ting; Zhang, T.; Luo, T. Y.",INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,2012,24,0,0,0,0,0,0,4,7,8,5,4.8
25,Therblig-based energy demand modeling methodology of machining process to support intelligent manufacturing,"Jia, Shun; Tang, Renzhong; Lv, Jingxiang",JOURNAL OF INTELLIGENT MANUFACTURING,2014,14,0,0,0,0,0,0,0,4,4,6,4.666666666666667
26,SOCRADES: a Framework for Developing Intelligent Systems in Manufacturing,"Cannata, A.; Gerosa, M.; Taisch, M.","IEEM: 2008 INTERNATIONAL CONFERENCE ON INDUSTRIAL ENGINEERING AND ENGINEERING MANAGEMENT, VOLS 1-3",2008,42,0,0,4,0,7,3,4,5,13,6,4.666666666666667
27,A novel approach for multi-agent-based Intelligent Manufacturing System,"Guo, Qinglin; Zhang, Ming",INFORMATION SCIENCES,2009,37,0,0,0,6,4,9,5,5,5,3,4.625
28,Applied advanced process analytics in biopharmaceutical manufacturing: Challenges and prospects in real-time monitoring and control,"Uendey, Cenk; Ertunc, Sinem; Mistretta, Thomas; Looze, Bryan",JOURNAL OF PROCESS CONTROL,2010,32,0,0,0,0,3,3,1,6,12,7,4.571428571428571
29,A two-level advanced production planning and scheduling model for RFID-enabled ubiquitous manufacturing,"Zhong, Ray Y.; Huang, George Q.; Lan, Shulin; Dai, Q. Y.; Zhang, T.; Xu, Chen",ADVANCED ENGINEERING INFORMATICS,2015,9,0,0,0,0,0,0,0,0,1,8,4.5
30,A Portrait of an ISO STEP Tolerancing Standard as an Enabler of Smart Manufacturing Systems,"Feeney, Allison Barnard; Frechette, Simon P.; Srinivasan, Vijay",JOURNAL OF COMPUTING AND INFORMATION SCIENCE IN ENGINEERING,2015,9,0,0,0,0,0,0,0,0,0,9,4.5
31,Agent-based smart objects management system for real-time ubiquitous manufacturing,"Zhang, Yingfeng; Huang, George Q.; Qu, T.; Ho, Oscar; Sun, Shudong",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,2011,26,0,0,0,0,1,1,4,3,11,6,4.333333333333333
32,An optimization method for shopfloor material handling based on real-time and multi-source manufacturing data,"Zhang, Yingfeng; Zhang, Geng; Du, Wei; Wang, Junqiang; Ali, Ebad; Sun, Shudong",INTERNATIONAL JOURNAL OF PRODUCTION ECONOMICS,2015,8,0,0,0,0,0,0,0,0,1,7,4.0
33,Agent-based Smart Gateway for RFID-enabled real-time wireless manufacturing,"Zhang, Yingfeng; Qu, T.; Ho, Oscar K.; Huang, George Q.",INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,2011,24,0,0,0,0,0,3,9,1,7,4,4.0
34,Smart factory - A step towards the next generation of manufacturing,"Lucke, Dominik; Constantinescu, Carmen; Westkaemper, Engelbert",MANUFACTURING SYSTEMS AND TECHNOLOGIES FOR THE NEW FRONTIER,2008,36,0,0,1,1,1,1,2,5,6,19,4.0
35,RFID-enabled real-time manufacturing information tracking infrastructure for extended enterprises,"Zhang, Yingfeng; Jiang, Pingyu; Huang, George; Qu, Ting; Zhou, Guanghui; Hong, Jun",JOURNAL OF INTELLIGENT MANUFACTURING,2012,19,0,0,0,0,2,0,1,4,9,3,3.8
36,Opportunity Estimation for Real-Time Energy Control of Sustainable Manufacturing Systems,"Sun, Zeyi; Li, Lin",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,2013,15,0,0,0,0,0,0,1,3,4,7,3.75
37,Wireless Cloud Networks for the Factory of Things: Connectivity Modeling and Layout Design,"Savazzi, Stefano; Rampa, Vittorio; Spagnolini, Umberto",IEEE INTERNET OF THINGS JOURNAL,2014,11,0,0,0,0,0,0,0,1,4,6,3.6666666666666665
38,A diagnosis and evaluation method for strategic planning and systematic design of a virtual factory in smart manufacturing systems,"Choi, SangSu; Kim, Bo Hyun; Noh, Sang Do",INTERNATIONAL JOURNAL OF PRECISION ENGINEERING AND MANUFACTURING,2015,7,0,0,0,0,0,0,0,0,1,6,3.5
39,An intelligent system for wafer bin map defect diagnosis: An empirical study for semiconductor manufacturing,"Liu, Chiao-Wen; Chien, Chen-Fu",ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,2013,14,0,0,0,0,0,0,1,6,3,4,3.5
40,Monitoring tea fermentation/manufacturing by direct analysis in real time (DART) mass spectrometry,"Fraser, Karl; Lane, Geoff A.; Otter, Don E.; Harrison, Scott J.; Quek, Siew-Young; Hemar, Yacine; Rasmussen, Susanne",FOOD CHEMISTRY,2013,14,0,0,0,0,0,0,0,3,7,4,3.5
41,Real-time production planning and control system for job-shop manufacturing: A system dynamics analysis,"Georgiadis, Patroklos; Michaloudis, Charalampos",EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,2012,17,0,0,0,0,0,1,3,3,2,8,3.4
42,DATA ANALYTICS USING SIMULATION FOR SMART MANUFACTURING,"Shao, Guodong; Shin, Seung-Jun; Jain, Sanjay",PROCEEDINGS OF THE 2014 WINTER SIMULATION CONFERENCE (WSC),2014,10,0,0,0,0,0,0,0,0,3,7,3.3333333333333335
43,UbiDM: a new paradigm for product design and manufacturing via ubiquitous computing technology,"Suh, S. -H.; Shin, S. -J.; Yoon, J. -S.; Um, J. -M.",INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,2008,29,0,1,2,3,5,4,5,3,3,3,3.2222222222222223
44,Intelligent token Petri nets for modelling and control of reconfigurable automated manufacturing systems with dynamical changes,"Wu, NaiQi; Zhou, MengChu",TRANSACTIONS OF THE INSTITUTE OF MEASUREMENT AND CONTROL,2011,19,0,0,0,0,0,3,2,3,4,7,3.1666666666666665
45,Event-driven multi-agent ubiquitous manufacturing execution platform for shop floor work-in-progress management,"Fang, Ji; Huang, George Q.; Li, Zhi",INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,2013,12,0,0,0,0,0,0,2,2,5,3,3.0
46,Knowledge framework for intelligent manufacturing systems,"Jardim-Goncalves, Ricardo; Sarraipa, Joao; Agostinho, Carlos; Panetto, Herve",JOURNAL OF INTELLIGENT MANUFACTURING,2011,18,0,0,0,0,0,1,3,7,3,4,3.0
47,Mapping Strategic Goals and Operational Performance Metrics for Smart Manufacturing Systems,"Jung, Kiwook; Morris, K. C.; Lyons, Kevin W.; Leong, Swee; Cho, Hyunbo",2015 CONFERENCE ON SYSTEMS ENGINEERING RESEARCH,2015,6,0,0,0,0,0,0,0,0,3,3,3.0
48,Online Real-Time Quality Monitoring in Additive Manufacturing Processes Using Heterogeneous Sensors,"Rao, Prahalad K.; Liu, Jia (Peter); Roberson, David; Kong, Zhenyu (James); Williams, Christopher",JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,2015,6,0,0,0,0,0,0,0,0,0,6,3.0
49,Multiple-objective scheduling and real-time dispatching for the semiconductor manufacturing system,"Lee, Y. F.; Jiang, Z. B.; Liu, H. R.",COMPUTERS & OPERATIONS RESEARCH,2009,24,0,0,1,3,4,1,6,1,4,4,3.0
50,RFID-based smart Kanbans for Just-In-Time manufacturing,"Zhang, Yingfeng; Jiang, Pingyu",INTERNATIONAL JOURNAL OF MATERIALS & PRODUCT TECHNOLOGY,2008,26,0,0,1,3,4,7,5,2,4,0,2.888888888888889
51,Beyond intelligent manufacturing: A new generation of flexible intelligent NC machines,"Mekid, S.; Pruschek, P.; Hernandez, J.",MECHANISM AND MACHINE THEORY,2009,23,0,0,1,5,5,3,3,2,2,2,2.875
52,A high-performance multi-beam microaccelerometer for vibration monitoring in intelligent manufacturing equipment,"Liu, Yan; Zhao, Yulong; Wang, Weizhong; Sun, Lu; Jiang, Zhuangde",SENSORS AND ACTUATORS A-PHYSICAL,2013,11,0,0,0,0,0,0,0,3,5,3,2.75
53,An agent-oriented approach to resolve scheduling optimization in intelligent manufacturing,"Guo, Qing-lin; Zhang, Ming",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,2010,19,0,0,0,1,1,1,0,5,8,3,2.7142857142857144
54,Real-Time Shop-Floor Production Performance Analysis Method for the Internet of Manufacturing Things,"Zhang, Yingfeng; Wang, Wenbo; Liu, Sichao; Xie, Gongnan",ADVANCES IN MECHANICAL ENGINEERING,2014,8,0,0,0,0,0,0,0,1,1,6,2.6666666666666665
55,Development of an intelligent agent-based AGV controller for a flexible manufacturing system,"Srivastava, Sharad Chandra; Choudhary, Alok Kumar; Kumar, Surendra; Tiwari, M. K.",INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2008,24,0,0,2,2,2,6,3,2,3,4,2.6666666666666665
56,Smart manufacturing: Handling preventive actuator maintenance and economics using model predictive control,"Lao, Liangfeng; Ellis, Matthew; Christofides, Panagiotis D.",AICHE JOURNAL,2014,8,0,0,0,0,0,0,0,1,2,5,2.6666666666666665
57,Real-time fault detection in manufacturing environments using face recognition techniques,"Megahed, Fadel M.; Camelio, Jaime A.",JOURNAL OF INTELLIGENT MANUFACTURING,2012,13,0,0,0,0,0,2,0,2,3,6,2.6
58,A conceptual framework for the ubiquitous factory,"Yoon, Joo-Sung; Shin, Seung-Jun; Suh, Suk-Hwan",INTERNATIONAL JOURNAL OF PRODUCTION RESEARCH,2012,13,0,0,0,0,0,0,2,3,4,4,2.6
59,Smart tooling with integrated time domain reflectometry sensing line for non-invasive flow and cure monitoring during composites manufacturing,"Pandey, Gaurav; Deffor, Hope; Thostenson, Erik T.; Heider, Dirk",COMPOSITES PART A-APPLIED SCIENCE AND MANUFACTURING,2013,10,0,0,0,0,0,0,2,2,2,4,2.5
60,Predictive - reactive strategy for real time scheduling of manufacturing systems,"Kalinowski, Krzysztof; Krenczyk, Damian; Grabowik, Cezary",MECHATRONICS AND COMPUTATIONAL MECHANICS,2013,10,0,0,0,0,0,0,1,5,3,1,2.5
61,Petri net based decision system modeling in real-time scheduling and control of flexible automotive manufacturing systems,"Basak, Ozkan; Albayrak, Y. Esra",COMPUTERS & INDUSTRIAL ENGINEERING,2015,5,0,0,0,0,0,0,0,1,2,2,2.5
62,Maximizing Smart Factory Systems by Incrementally Updating Point Clouds,"Shellshear, Evan; Berlin, Rolf; Carlson, Johan S.",IEEE COMPUTER GRAPHICS AND APPLICATIONS,2015,5,0,0,0,0,0,0,0,0,2,3,2.5
63,An RFID-based enterprise application integration framework for real-time management of dynamic manufacturing processes,"Chen, Ruey-Shun; Tu, Mengru Arthur; Jwo, Jung-Sing",INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2010,17,0,0,0,0,1,0,2,3,7,4,2.4285714285714284
64,"ROBO-PARTNER: Seamless Human-Robot Cooperation for Intelligent, Flexible and Safe Operations in the Assembly Factories of the Future","Michalos, George; Makris, Sotiris; Spiliotopoulos, Jason; Misios, Ioannis; Tsarouchi, Panagiota; Chryssolouris, George",5TH CATS 2014 - CIRP CONFERENCE ON ASSEMBLY TECHNOLOGIES AND SYSTEMS,2014,7,0,0,0,0,0,0,0,0,0,7,2.3333333333333335
65,Distributed manufacturing control with extended CNP interaction of intelligent products,"Borangiu, Theodor; Raileanu, Silviu; Trentesaux, Damien; Berger, Thierry; Iacob, Iulia",JOURNAL OF INTELLIGENT MANUFACTURING,2014,7,0,0,0,0,0,0,0,0,1,6,2.3333333333333335
66,Deploying Kepler Workflows as Services on a Cloud Infrastructure for Smart Manufacturing,"Korambath, Prakashan; Wang, Jianwu; Kumar, Ankur; Hochstein, Lorin; Schott, Brian; Graybill, Robert; Baldea, Michael; Davis, Jim",2014 INTERNATIONAL CONFERENCE ON COMPUTATIONAL SCIENCE,2014,7,0,0,0,0,0,0,0,0,2,5,2.3333333333333335
67,Supervisory factory control based on real-time production feedback,"Chang, Qing; Ni, Jun; Bandyopadhyay, Pulak; Biller, Stephan; Xiao, Guoxian",JOURNAL OF MANUFACTURING SCIENCE AND ENGINEERING-TRANSACTIONS OF THE ASME,2007,23,0,0,5,1,2,1,3,0,5,6,2.3
68,A general framework of a Reference Model for Intelligent Integrated Manufacturing Systems (REMIMS),"Oztemel, Ercan; Tekez, Esra Kurt",ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE,2009,18,0,0,0,2,3,2,1,4,5,1,2.25
69,Intelligent automation of design and manufacturing in machine tools using an open architecture motion controller,"Ramesh, R.; Jyothirmai, S.; Lavanya, K.",JOURNAL OF MANUFACTURING SYSTEMS,2013,9,0,0,0,0,0,0,1,2,2,4,2.25
70,A hybrid intelligent model for order allocation planning in make-to-order manufacturing,"Guo, Z. X.; Wong, W. K.; Leung, S. Y. S.",APPLIED SOFT COMPUTING,2013,9,0,0,0,0,0,0,1,3,3,2,2.25
71,Intelligent design of a dynamic machine layout in uncertain environment of flexible manufacturing systems,"Moslemipour, Ghorbanali; Lee, T. S.",JOURNAL OF INTELLIGENT MANUFACTURING,2012,11,0,0,0,0,0,2,2,0,4,3,2.2
72,Application of intelligent data management in resource allocation for effective operation of manufacturing systems,"Lee, C. K. H.; Choy, K. L.; Law, K. M. Y.; Ho, G. T. S.",JOURNAL OF MANUFACTURING SYSTEMS,2014,6,0,0,0,0,0,0,0,0,3,3,2.0
73,Real time monitoring of powder blend bulk density for coupled feed-forward/feed-back control of a continuous direct compaction tablet manufacturing process,"Singh, Ravendra; Roman-Ospino, Andres D.; Romanach, Rodolfo J.; Ierapetritou, Marianthi; Ramachandran, Rohit",INTERNATIONAL JOURNAL OF PHARMACEUTICS,2015,4,0,0,0,0,0,0,0,0,0,4,2.0
74,Real-time product attribute control to manufacture antibodies with defined N-linked glycan levels,"Zupke, Craig; Brady, Lowell J.; Slade, Peter G.; Clark, Philip; Caspary, R. Guy; Livingston, Brittney; Taylor, Lisa; Bigham, Kyle; Morris, Arvia E.; Bailey, Robert W.",BIOTECHNOLOGY PROGRESS,2015,4,0,0,0,0,0,0,0,0,0,4,2.0
75,An online sparse estimation-based classification approach for real-time monitoring in advanced manufacturing processes from heterogeneous sensor data,"Bastani, Kaveh; Rao, Prahalad K.; Kong, Zhenyu (James)",IIE TRANSACTIONS,2016,2,0,0,0,0,0,0,0,0,0,2,2.0
76,A radio frequency identification-enabled real-time manufacturing execution system for one-of-a-kind production manufacturing: a case study in mould industry,"Wang, M. L.; Qu, T.; Zhong, R. Y.; Dai, Q. Y.; Zhang, X. W.; He, J. B.",INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,2012,10,0,0,0,0,0,0,0,1,2,7,2.0
77,Towards better understanding of an industrial cell factory: investigating the feasibility of real-time metabolic flux analysis in Pichia pastoris,"Fazenda, Mariana L.; Dias, Joao M. L.; Harvey, Linda M.; Nordon, Alison; Edrada-Ebel, Ruan; LittleJohn, David; McNeil, Brian",MICROBIAL CELL FACTORIES,2013,8,0,0,0,0,0,0,0,3,1,4,2.0
78,Design of manufacturing networks for mass customisation using an intelligent search method,"Mourtzis, D.; Doukas, M.; Psarommatis, F.",INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,2015,4,0,0,0,0,0,0,0,1,2,1,2.0
79,An intelligent Online monitoring and diagnostic system for manufacturing automation,"Ge, Ming; Xu, Yangsheng; Du, Ruxu",IEEE TRANSACTIONS ON AUTOMATION SCIENCE AND ENGINEERING,2008,18,0,0,0,3,3,3,1,2,2,4,2.0
80,The Characteristic Objects Method: A New Intelligent Decision Support Tool for Sustainable Manufacturing,"Watrobski, Jaroslaw; Salabun, Wojciech",SUSTAINABLE DESIGN AND MANUFACTURING 2016,2016,2,0,0,0,0,0,0,0,0,0,2,2.0
81,RFID-enabled indoor positioning method for a real-time manufacturing execution system using OS-ELM,"Yang, Zhixin; Zhang, Pengbo; Chen, Lei",NEUROCOMPUTING,2016,2,0,0,0,0,0,0,0,0,0,2,2.0
82,Intelligent monitoring and diagnosis of manufacturing processes using an integrated approach of KBANN and GA,"Yu, Jianbo; Xi, Lifeng; Zhou, Xiaojun",COMPUTERS IN INDUSTRY,2008,18,0,0,0,2,2,1,5,3,3,2,2.0
83,Real-Time Process Management Strategy for Dropwise Additive Manufacturing of Pharmaceutical Products,"Hirshfield, Laura; Icten, Elcin; Giridhar, Arun; Nagy, Zoltan K.; Reklaitis, Gintaras V.",JOURNAL OF PHARMACEUTICAL INNOVATION,2015,4,0,0,0,0,0,0,0,0,1,3,2.0
84,Examples of NIR based real time release in tablet manufacturing,"Skibsted, E. T. S.; Westerhuis, J. A.; Smilde, A. K.; Witte, D. T.",JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,2007,20,1,4,0,2,3,1,5,2,0,2,2.0
85,Perspective for smart factory in petrochemical industry,"Li, Defang",COMPUTERS & CHEMICAL ENGINEERING,2016,2,0,0,0,0,0,0,0,0,0,2,2.0
86,"Design, fabrication and embedding of microscale interdigital sensors for real-time cure monitoring during composite manufacturing","Moghaddam, Maryam Kahali; Breede, Arne; Chaloupka, Alexander; Boedecker, Andre; Habben, Christian; Meyer, Eva-Maria; Brauner, Christian; Lang, Walter",SENSORS AND ACTUATORS A-PHYSICAL,2016,2,0,0,0,0,0,0,0,0,0,2,2.0
87,Smart deadlock prevention policy for flexible manufacturing systems using Petri nets,"Li, Z.; Shpitalni, M.",IET CONTROL THEORY AND APPLICATIONS,2009,15,0,0,0,0,5,2,3,2,1,2,1.875
88,RFID-enabled real-time PBS monitoring for automobile assembly factory,"Huang, Gang; Li, Jin H.; Yuan, Xiao D.; Gao, Liang; Rao, Yunqing",INTERNATIONAL JOURNAL OF COMPUTER INTEGRATED MANUFACTURING,2012,9,0,0,0,0,1,0,0,1,6,1,1.8
89,Real-time sensing and metrology for atomic layer deposition processes and manufacturing,"Henn-Lecordier, Laurent; Lei, Wei; Anderle, Mariano; Rubloff, Gary W.",JOURNAL OF VACUUM SCIENCE & TECHNOLOGY B,2007,18,1,1,4,4,3,2,2,0,0,1,1.8
90,A Conceptual Architecture Based on Intelligent Services for Manufacturing Support Systems,"Marin, Cesar A.; Moench, Lars; Leitao, Paulo; Vrba, Pavel; Kazanskaia, Daria; Chepegin, Vadim; Liu, Liwei; Mehandjiev, Nikolay","2013 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN, AND CYBERNETICS (SMC 2013)",2013,7,0,0,0,0,0,0,0,1,1,5,1.75
91,Standard Linux for embedded real-time robotics and manufacturing control systems,"Bruzzone, G.; Caccia, M.; Ravera, G.; Bertone, A.",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,2009,14,0,0,4,3,1,2,2,1,1,0,1.75
92,Intelligent control and integration software for flexible manufacturing cells,"Ferrolho, Antonio; Crisostomo, Manuel",IEEE TRANSACTIONS ON INDUSTRIAL INFORMATICS,2007,17,1,0,2,1,1,3,4,4,1,0,1.7
93,Intelligent and integrated RFID (II-RFID) system for improving traceability in manufacturing,"Wang, Ke-Sheng",ADVANCES IN MANUFACTURING,2014,5,0,0,0,0,0,0,0,0,1,4,1.6666666666666667
94,Towards a real time release approach for manufacturing tablets using NIR spectroscopy,"Pestieau, Aude; Krier, Fabrice; Thoorens, Gregory; Dupont, Anais; Chavez, Pierre-Francois; Ziemons, Eric; Hubert, Philippe; Evrard, Brigitte",JOURNAL OF PHARMACEUTICAL AND BIOMEDICAL ANALYSIS,2014,5,0,0,0,0,0,0,0,0,2,3,1.6666666666666667
95,"Real-time recognition of ball bearing states for the enhancement of precision, quality, efficiency, safety, and automation of manufacturing","Liu, Tien-I; Lee, Junyi; Singh, Palvinder; Liu, George",INTERNATIONAL JOURNAL OF ADVANCED MANUFACTURING TECHNOLOGY,2014,5,0,0,0,0,0,0,0,2,2,1,1.6666666666666667
96,Augmented Reality in the Smart Factory Supporting Workers in an Industry 4.0. Environment,"Paelke, Volker",2014 IEEE EMERGING TECHNOLOGY AND FACTORY AUTOMATION (ETFA),2014,5,0,0,0,0,0,0,0,0,1,4,1.6666666666666667
97,Optimal distributed real-time scheduling of flexible manufacturing networks modeled as hybrid dynamical systems,"Savkin, A. V.; Somlo, J.",ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,2009,13,0,0,0,0,4,1,3,2,3,0,1.625
98,Intelligent scheduling approaches for a wafer fabrication factory,"Chen, Toly",JOURNAL OF INTELLIGENT MANUFACTURING,2012,8,0,0,0,0,0,1,4,1,1,1,1.6
